,corr_to_sample,corr_to_time,gene_count,pvalue_sample,pvalue_time
MElightpink2,0.127496220333485,0.53433255671428,36,0.472413536156815,0.00113335194795728
MEivory,0.0908026125154959,0.390205583002278,156,0.609548152831662,0.0225218025011552
MElightcoral,-0.0604882595047116,0.371704422142286,102,0.733989917221285,0.0304224515565896
MElightslateblue,-0.201340996911392,0.465424563798109,61,0.253521583411237,0.0055411545333554
MElightcyan,-0.213825705265671,0.344491271378823,381,0.224642410035787,0.0460300064885994
MEblue2,-0.327217281399744,0.429393758325642,92,0.0588923267509393,0.0112689133526345
MEcyan,-0.239711821314258,0.375295569775686,395,0.17210492308958,0.0287334469275178
MEtan,-0.0200237760939868,-0.34930358519998,425,0.910505036554538,0.0428804033850834
MEmagenta,0.141266417436081,-0.374466835671519,497,0.425500096301033,0.0291162323852293
MEsaddlebrown,0.0416316296677953,-0.359172658907742,199,0.815161007091889,0.0369635194949259
MEsalmon,-0.167409151440219,-0.378702188322548,416,0.343973220001884,0.0272030322318474
