corr_to_sample	corr_to_time	gene_count	pvalue_sample	pvalue_time
MEblue	0.126233170611844	0.477817953028827	1210	0.463185579821715	0.00320657352733796
MEyellow	0.216742930252166	0.618084226072996	899	0.204184586030336	5.89720312385065e-05
MEhoneydew	0.52752981417578	0.343896243142582	54	0.000945709211743954	0.0400079018882447
MEfloralwhite	-0.238803085413435	0.406834317818248	142	0.1607241013252	0.0138003047248829
MEindianred4	-0.246049614031749	0.371702924537911	77	0.148024997233233	0.0256040238539789
MEplum	-0.359473286413415	0.364942859106811	88	0.0312967388048005	0.0286343596753229
MEsalmon2	-0.160992205415306	0.403671562019435	63	0.348243730522699	0.0146281994709746
MEcoral1	0.373261598095338	0.388400685995983	97	0.0249442850637725	0.0192371861541424
MEcoral	-0.222560652433782	-0.396517935845423	51	0.192004816482236	0.016655978956343
MEdarkviolet	0.047253238665264	0.435508595591815	70	0.784341031676073	0.00793519952440352
MElightcyan1	-0.299571953075214	-0.354163127651787	149	0.0758953283806731	0.0340722551887042
MEdarkred	-0.0361903904847115	-0.365082351307189	309	0.834020859830429	0.0285689766718611
MEpink	0.139233574608641	-0.603324148542977	568	0.418012182214198	9.82079130410458e-05
MEdarkolivegreen	0.208609339433915	-0.525696939738036	191	0.222097151981217	0.000992565552504352
MEthistle2	0.439411814933537	-0.512670799098346	120	0.007332693445318	0.00138892144073747
MEskyblue	-0.147916372139204	-0.493985920423545	240	0.389278336235817	0.00219881492768552
MEmediumpurple4	-0.0649794686556888	-0.385746979843089	46	0.70653352856355	0.0201502137320777
MEdarkorange2	-0.00860978224832583	-0.371392192782216	130	0.960252745974554	0.0257372548116466
MEgreen	0.0460722782963788	-0.353972569786138	775	0.789608167209082	0.0341754720979982
