chrom	start_window	end_window	perc_te
Tfas_chr1	1	100000	24.413999999999998
Tfas_chr1	100001	200000	18.363
Tfas_chr1	200001	300000	15.751000000000001
Tfas_chr1	300001	400000	18.243000000000002
Tfas_chr1	400001	500000	23.149
Tfas_chr1	500001	600000	18.770999999999997
Tfas_chr1	600001	700000	16.822
Tfas_chr1	700001	800000	13.343
Tfas_chr1	800001	900000	27.776
Tfas_chr1	900001	1000000	8.667
Tfas_chr1	1000001	1100000	17.633
Tfas_chr1	1100001	1200000	23.36
Tfas_chr1	1200001	1300000	25.722
Tfas_chr1	1300001	1400000	27.433999999999997
Tfas_chr1	1400001	1500000	42.93
Tfas_chr1	1500001	1600000	18.541
Tfas_chr1	1600001	1700000	32.637
Tfas_chr1	1700001	1800000	39.67
Tfas_chr1	1800001	1900000	19.817
Tfas_chr1	1900001	2000000	28.111000000000004
Tfas_chr1	2000001	2100000	27.511999999999997
Tfas_chr1	2100001	2200000	42.099
Tfas_chr1	2200001	2300000	22.472
Tfas_chr1	2300001	2400000	21.601
Tfas_chr1	2400001	2500000	26.224999999999998
Tfas_chr1	2500001	2600000	48.236000000000004
Tfas_chr1	2600001	2700000	35.254999999999995
Tfas_chr1	2700001	2800000	26.852999999999998
Tfas_chr1	2800001	2900000	42.141
Tfas_chr1	2900001	3000000	17.591
Tfas_chr1	3000001	3100000	22.052
Tfas_chr1	3100001	3200000	48.747
Tfas_chr1	3200001	3300000	32.193
Tfas_chr1	3300001	3400000	75.598
Tfas_chr1	3400001	3500000	57.147999999999996
Tfas_chr1	3500001	3600000	29.799999999999997
Tfas_chr1	3600001	3700000	36.309999999999995
Tfas_chr1	3700001	3800000	29.792
Tfas_chr1	3800001	3900000	39.431
Tfas_chr1	3900001	4000000	20.419
Tfas_chr1	4000001	4100000	35.324
Tfas_chr1	4100001	4200000	44.68
Tfas_chr1	4200001	4300000	41.287
Tfas_chr1	4300001	4400000	42.552
Tfas_chr1	4400001	4500000	48.289
Tfas_chr1	4500001	4600000	45.036
Tfas_chr1	4600001	4700000	44.806000000000004
Tfas_chr1	4700001	4800000	53.419000000000004
Tfas_chr1	4800001	4900000	45.664
Tfas_chr1	4900001	5000000	63.05500000000001
Tfas_chr1	5000001	5100000	77.118
Tfas_chr1	5100001	5200000	30.36
Tfas_chr1	5200001	5300000	29.110999999999997
Tfas_chr1	5300001	5400000	56.299
Tfas_chr1	5400001	5500000	43.238
Tfas_chr1	5500001	5600000	27.514
Tfas_chr1	5600001	5700000	56.535999999999994
Tfas_chr1	5700001	5800000	55.916
Tfas_chr1	5800001	5900000	46.873
Tfas_chr1	5900001	6000000	41.991
Tfas_chr1	6000001	6100000	61.306000000000004
Tfas_chr1	6100001	6200000	55.599
Tfas_chr1	6200001	6300000	80.023
Tfas_chr1	6300001	6400000	71.761
Tfas_chr1	6400001	6500000	62.529
Tfas_chr1	6500001	6600000	46.298
Tfas_chr1	6600001	6700000	51.233
Tfas_chr1	6700001	6800000	43.811
Tfas_chr1	6800001	6900000	47.201
Tfas_chr1	6900001	7000000	38.852
Tfas_chr1	7000001	7100000	37.616
Tfas_chr1	7100001	7200000	65.999
Tfas_chr1	7200001	7300000	67.10300000000001
Tfas_chr1	7300001	7400000	55.631
Tfas_chr1	7400001	7500000	46.21
Tfas_chr1	7500001	7600000	40.439
Tfas_chr1	7600001	7700000	41.743
Tfas_chr1	7700001	7800000	54.99000000000001
Tfas_chr1	7800001	7900000	51.278999999999996
Tfas_chr1	7900001	8000000	66.369
Tfas_chr1	8000001	8100000	76.97699999999999
Tfas_chr1	8100001	8200000	81.289
Tfas_chr1	8200001	8300000	57.025000000000006
Tfas_chr1	8300001	8400000	72.966
Tfas_chr1	8400001	8500000	74.668
Tfas_chr1	8500001	8600000	79.965
Tfas_chr1	8600001	8700000	78.879
Tfas_chr1	8700001	8800000	58.677
Tfas_chr1	8800001	8900000	67.75099999999999
Tfas_chr1	8900001	9000000	58.879999999999995
Tfas_chr1	9000001	9100000	67.765
